      Step     Time          Energy          fmax
BFGS:    0 04:15:05      -30.188890        0.369522
BFGS:    1 04:15:05      -30.192436        0.224150
BFGS:    2 04:15:08      -30.196819        0.171068
BFGS:    3 04:15:08      -30.198736        0.171600
BFGS:    4 04:15:08      -30.202168        0.205496
BFGS:    5 04:15:08      -30.204943        0.196693
BFGS:    6 04:15:08      -30.206562        0.110768
BFGS:    7 04:15:08      -30.207249        0.088568
BFGS:    8 04:15:08      -30.207752        0.064914
BFGS:    9 04:15:08      -30.208014        0.034179
