      Step     Time          Energy          fmax
BFGS:    0 04:56:50      -45.759537        1.636769
BFGS:    1 04:56:50      -45.807526        0.764475
BFGS:    2 04:56:50      -45.829933        0.634984
BFGS:    3 04:56:50      -45.887592        0.761087
BFGS:    4 04:56:50      -45.909134        0.754988
BFGS:    5 04:56:50      -45.967720        0.768497
BFGS:    6 04:56:50      -45.984459        0.425496
BFGS:    7 04:56:50      -46.002522        0.526192
BFGS:    8 04:56:51      -46.016033        0.395714
BFGS:    9 04:56:51      -46.035282        0.387625
BFGS:   10 04:56:51      -46.044975        0.364333
BFGS:   11 04:56:51      -46.053387        0.314820
BFGS:   12 04:56:51      -46.068394        0.506338
BFGS:   13 04:56:51      -46.081989        0.528830
BFGS:   14 04:56:51      -46.095978        0.483347
BFGS:   15 04:56:51      -46.107475        0.469156
BFGS:   16 04:56:51      -46.120193        0.451408
BFGS:   17 04:56:51      -46.134441        0.394079
BFGS:   18 04:56:51      -46.144634        0.236049
BFGS:   19 04:56:51      -46.147186        0.458631
BFGS:   20 04:56:51      -46.152878        0.332360
BFGS:   21 04:56:51      -46.160179        0.457429
BFGS:   22 04:56:51      -46.180836        1.064597
BFGS:   23 04:56:51      -46.195732        0.436277
BFGS:   24 04:56:51      -46.205513        0.296241
BFGS:   25 04:56:51      -46.211483        0.649755
BFGS:   26 04:56:51      -46.218849        0.351234
BFGS:   27 04:56:51      -46.231873        0.277114
BFGS:   28 04:56:51      -46.235680        0.249514
BFGS:   29 04:56:51      -46.236916        0.210239
BFGS:   30 04:56:51      -46.238190        0.108324
BFGS:   31 04:56:51      -46.238930        0.113283
BFGS:   32 04:56:51      -46.239834        0.104747
BFGS:   33 04:56:51      -46.240570        0.094191
BFGS:   34 04:56:51      -46.241035        0.212334
BFGS:   35 04:56:51      -46.241703        0.111177
BFGS:   36 04:56:51      -46.242447        0.064744
BFGS:   37 04:56:51      -46.243492        0.150321
BFGS:   38 04:56:51      -46.244522        0.187206
BFGS:   39 04:56:51      -46.245850        0.152094
BFGS:   40 04:56:51      -46.247185        0.106021
BFGS:   41 04:56:51      -46.248672        0.111608
BFGS:   42 04:56:51      -46.249954        0.085330
BFGS:   43 04:56:51      -46.250652        0.083764
BFGS:   44 04:56:51      -46.251053        0.066226
BFGS:   45 04:56:51      -46.251377        0.042586
