name,site_idx,site_type,rotation,initial_energy,final_energy,e_ads,steps,converged
site11_rot45,11,bridge,45.0,-170.8212127685547,-174.83941650390625,-4.1445465087890625,181,True
site11_rot90,11,bridge,90.0,-170.80453491210938,-174.83917236328125,-4.1443023681640625,193,True
site8_rot90,8,top,90.0,-170.80992126464844,-174.752197265625,-4.0573272705078125,213,True
site7_rot135,7,top,135.0,-170.81031799316406,-174.7310028076172,-4.0361328125,190,True
site4_rot0,4,top,0.0,-170.81976318359375,-174.62457275390625,-3.9297027587890625,168,True
site9_rot0,9,bridge,0.0,-170.82852172851562,-174.5912628173828,-3.896392822265625,223,True
site8_rot45,8,top,45.0,-170.79689025878906,-174.51853942871094,-3.82366943359375,195,True
site5_rot90,5,top,90.0,-170.80606079101562,-174.51242065429688,-3.8175506591796875,266,True
site1_rot90,1,top,90.0,-170.80787658691406,-174.4739227294922,-3.779052734375,223,True
site4_rot45,4,top,45.0,-170.81666564941406,-174.47019958496094,-3.77532958984375,168,True
site11_rot0,11,bridge,0.0,-170.8153839111328,-174.45933532714844,-3.76446533203125,183,True
site1_rot45,1,top,45.0,-170.8234100341797,-174.4239044189453,-3.729034423828125,161,True
site5_rot135,5,top,135.0,-170.80328369140625,-174.42013549804688,-3.7252655029296875,160,True
site1_rot0,1,top,0.0,-170.838134765625,-174.4056396484375,-3.7107696533203125,161,True
site7_rot0,7,top,0.0,-170.7703857421875,-174.39041137695312,-3.6955413818359375,184,True
site4_rot135,4,top,135.0,-170.80250549316406,-174.3846893310547,-3.6898193359375,217,True
site4_rot90,4,top,90.0,-170.80477905273438,-174.33140563964844,-3.63653564453125,177,True
site1_rot135,1,top,135.0,-170.78466796875,-174.32008361816406,-3.625213623046875,158,True
site3_rot45,3,top,45.0,-170.77560424804688,-174.29600524902344,-3.60113525390625,152,True
site8_rot0,8,top,0.0,-170.76565551757812,-174.29432678222656,-3.599456787109375,152,True
site11_rot135,11,bridge,135.0,-170.78114318847656,-174.29037475585938,-3.5955047607421875,126,True
site7_rot45,7,top,45.0,-170.78611755371094,-174.2829132080078,-3.588043212890625,136,True
site6_rot0,6,top,0.0,-170.76113891601562,-174.28158569335938,-3.5867156982421875,137,True
site2_rot90,2,top,90.0,-170.8050079345703,-174.26876831054688,-3.5738983154296875,143,True
site6_rot90,6,top,90.0,-170.7781524658203,-174.26422119140625,-3.5693511962890625,133,True
site6_rot135,6,top,135.0,-170.80001831054688,-174.2504119873047,-3.5555419921875,129,True
site2_rot135,2,top,135.0,-170.78501892089844,-174.2353515625,-3.5404815673828125,118,True
site2_rot0,2,top,0.0,-170.82154846191406,-174.23214721679688,-3.5372772216796875,139,True
site8_rot135,8,top,135.0,-170.8116455078125,-174.23057556152344,-3.53570556640625,144,True
site2_rot45,2,top,45.0,-170.81849670410156,-174.2109832763672,-3.51611328125,135,True
site3_rot135,3,top,135.0,-170.79322814941406,-174.17434692382812,-3.4794769287109375,167,True
site3_rot90,3,top,90.0,-170.77532958984375,-174.16307067871094,-3.46820068359375,151,True
site0_rot45,0,top,45.0,-170.7852325439453,-174.14634704589844,-3.45147705078125,156,True
site0_rot0,0,top,0.0,-170.8163299560547,-174.14442443847656,-3.449554443359375,155,True
site7_rot90,7,top,90.0,-170.8029327392578,-174.12257385253906,-3.427703857421875,133,True
site6_rot45,6,top,45.0,-170.75631713867188,-174.11717224121094,-3.42230224609375,136,True
site0_rot90,0,top,90.0,-170.766357421875,-174.1160430908203,-3.421173095703125,159,True
site10_rot90,10,bridge,90.0,-170.7745819091797,-174.11219787597656,-3.417327880859375,153,True
site3_rot0,3,top,0.0,-170.79640197753906,-174.1011505126953,-3.406280517578125,112,True
site10_rot45,10,bridge,45.0,-170.784912109375,-174.0950164794922,-3.400146484375,176,True
site5_rot45,5,top,45.0,-170.82469177246094,-174.0897216796875,-3.3948516845703125,153,True
site10_rot0,10,bridge,0.0,-170.80056762695312,-174.06527709960938,-3.3704071044921875,177,True
site5_rot0,5,top,0.0,-170.81527709960938,-174.05636596679688,-3.3614959716796875,124,True
site12_rot0,12,bridge,0.0,-170.81590270996094,-173.89178466796875,-3.1969146728515625,111,True
site12_rot45,12,bridge,45.0,-170.80735778808594,-173.84222412109375,-3.1473541259765625,93,True
site9_rot45,9,bridge,45.0,-170.8173065185547,-173.76840209960938,-3.0735321044921875,112,True
site9_rot90,9,bridge,90.0,-170.7909393310547,-173.75535583496094,-3.06048583984375,98,True
site0_rot135,0,top,135.0,-170.76319885253906,-173.73822021484375,-3.0433502197265625,95,True
site10_rot135,10,bridge,135.0,-170.78424072265625,-173.6806182861328,-2.985748291015625,96,True
site9_rot135,9,bridge,135.0,-170.77806091308594,-173.66787719726562,-2.9730072021484375,91,True
